openalex_id,level,parent_3,parent_2,parent_1,display_name,journals_count
C2778849375,2,,Geology,Geochemistry,Zircon,2
C139997677,2,,Philosophy,Epistemology,Semiotics,2
C112570922,2,,Biology,Ecology,Contamination,2
C51303962,2,,Business,Finance,Double taxation,2
C158379750,2,,Computer science,Computer network,Network packet,2
C2780151969,2,,Engineering,Environmental engineering,Sanitation,2
C2778548054,2,,Philosophy,Epistemology,Historical thinking,2
C2781092963,2,,Medicine,Ophthalmology,Intraocular pressure,2
C129361004,2,,Business,Finance,Profitability index,2
C126645576,2,,Geography,Cartography,Drainage basin,2
C2776042228,2,,Biology,Immunology,Asthma,2
C2780138947,2,,Biology,Agronomy,Dry matter,2
C152568617,2,,Physics,Nuclear physics,Neutron,2
C2780560099,2,,Biology,Agronomy,Fertilizer,2
C2778451229,2,,Medicine,Internal medicine,Endoscopy,2
C71928629,2,,Computer science,World Wide Web,Parasite hosting,2
C2781238097,2,,Computer science,Artificial intelligence,Object (grammar),2
C2776820930,2,,Medicine,Cardiology,Artery,2
C150394285,2,,Chemistry,Organic chemistry,Adsorption,2
C108771440,2,,Political science,Law,Lifelong learning,2
C116403925,2,,Physics,Astronomy,Ionosphere,2
C2779056158,2,,Medicine,Internal medicine,Peritoneal dialysis,2
C134141054,2,,Art,Aesthetics,Performative utterance,2
C149209484,2,,Political science,Law,Comparative law,2
C511840579,2,,Engineering,Automotive engineering,Internal combustion engine,2
C37531588,2,,Geography,Archaeology,Exhibition,2
C53173841,2,,Economics,Management,Action research,2
C198394728,2,,Physics,Acoustics,Vibration,2
C2987404301,2,,Medicine,Intensive care medicine,Intensive care,2
C2780656516,2,,Geography,Archaeology,Prison,2
C29598333,2,,Geography,Archaeology,Historiography,2
C547646559,2,,Medicine,Pathology,Hygiene,2
C182744844,2,,Philosophy,Epistemology,Metaphysics,2
C2775934546,2,,Medicine,Internal medicine,Biopsy,2
C2780333494,2,,Political science,Law,Service-learning,2
C2778019345,2,,Biology,Cancer research,Hepatocellular carcinoma,2
C68489960,2,,Economics,Management,Transactional leadership,2
C108170787,2,,Philosophy,Epistemology,Agency (philosophy),2
C533803919,2,,Biology,Immunology,Dengue fever,2
C41458344,2,,Business,Advertising,Publication,2
C67236022,2,,Geology,Geochemistry,Mantle (geology),2
C2777855551,2,,Computer science,Library science,Subject (documents),2
C89560881,2,,Biology,Immunology,Platelet,2
C50477045,2,,Biology,Ecology,Surface runoff,2
C31858485,2,,Geography,Archaeology,Excavation,2
C19159745,2,,Political science,Law,Social policy,2
C79974875,2,,Political science,Law,Cloud computing,2
C103621254,2,,Philosophy,Linguistics,Vietnamese,2
C2778407487,2,,Computer science,Data science,Altmetrics,2
C523214423,2,,Engineering,Mechanical engineering,Machining,2
C197386563,2,,Economics,Management,Leadership style,2
C115880899,2,,Geography,Archaeology,Bay,2
C2777601897,2,,Medicine,Obstetrics,Presentation (obstetrics),2
C2780233690,2,,Computer science,Computer security,Transparency (behavior),2
C153127940,2,,Biology,Paleontology,Oil shale,2
C535046627,2,,Biology,Bioinformatics,Clinical trial,2
C48856860,2,,Biology,Neuroscience,Addiction,2
C158973077,2,,Physics,Nuclear physics,Radionuclide,2
